step,loss
10,6.44040000
20,5.68010000
30,5.84140000
40,5.16150000
50,5.09520000
60,4.73660000
70,4.28040000
80,4.30600000
90,3.97500000
100,3.76830000
110,3.33990000
120,3.28020000
130,2.91300000
140,2.68870000
150,2.42650000
160,2.27300000
170,2.01930000
180,1.63770000
190,1.57200000
200,1.44390000
210,1.18910000
220,1.00670000
230,0.93000000
240,0.78110000
250,0.70110000
260,0.67430000
270,0.61150000
280,0.59290000
290,0.47740000
300,0.50000000
310,0.48020000
320,0.45000000
330,0.45690000
340,0.33870000
350,0.39920000
360,0.38550000
370,0.37060000
380,0.46260000
390,0.36800000
400,0.43580000
410,0.34850000
420,0.33680000
430,0.36540000
440,0.31270000
450,0.46260000
460,0.30780000
470,0.41790000
480,0.33520000
490,0.42230000
500,0.40280000
510,0.33810000
520,0.47060000
530,0.25930000
540,0.54140000
550,0.32110000
560,0.48530000
570,0.30820000
580,0.27120000
590,0.27470000
600,0.23280000
610,0.52950000
620,0.35840000
630,0.48950000
640,0.45660000
650,0.32840000
660,0.28600000
670,0.40270000
680,0.35390000
690,0.37000000
700,0.30550000
710,0.26970000
720,0.35150000
730,0.43230000
740,0.21940000
750,0.25670000
760,0.25950000
770,0.42380000
780,0.29450000
790,0.43670000
800,0.30930000
810,0.46190000
820,0.34150000
830,0.49510000
840,0.32200000
850,0.31060000
860,0.20740000
870,0.23780000
880,0.26160000
890,0.43570000
900,0.31760000
910,0.39170000
920,0.35720000
930,0.35350000
940,0.14050000
950,0.28810000
960,0.39010000
970,0.37370000
980,0.44900000
990,0.22630000
1000,0.53520000
1010,0.31940000
1020,0.37520000
1030,0.23390000
1040,0.20660000
1050,0.32040000
1060,0.30830000
1070,0.30400000
1080,0.30740000
1090,0.34530000
1100,0.52970000
1110,0.49230000
1120,0.20790000
1130,0.37360000
1140,0.28490000
1150,0.31020000
1160,0.43910000
1170,0.37880000
1180,0.28210000
1190,0.20400000
1200,0.29620000
1210,0.41180000
1220,0.25340000
1230,0.45090000
1240,0.37490000
1250,0.27580000
1260,0.26550000
1270,0.39910000
1280,0.39230000
1290,0.40240000
1300,0.30310000
1310,0.25020000
1320,0.37110000
1330,0.37520000
1340,0.29180000
1350,0.26600000
1360,0.25960000
1370,0.32040000
1380,0.40810000
1390,0.42580000
1400,0.29210000
1410,0.32340000
1420,0.33790000
1430,0.39480000
1440,0.28600000
1450,0.27210000
1460,0.28360000
1470,0.33620000
1480,0.34540000
1490,0.22930000
1500,0.24270000
1510,0.19190000
1520,0.40120000
1530,0.35250000
1540,0.56810000
1550,0.35010000
1560,0.15340000
1570,0.30820000
1580,0.25370000
1590,0.41950000
1600,0.36240000
1610,0.29000000
1620,0.21010000
1630,0.20440000
1640,0.37350000
1650,0.26780000
1660,0.28750000
1670,0.35350000
1680,0.36280000
1690,0.33120000
1700,0.39210000
1710,0.37370000
1720,0.28190000
1730,0.36110000
1740,0.37640000
1750,0.25180000
1760,0.26900000
1770,0.26410000
1780,0.56760000
1790,0.27230000
1800,0.39700000
1810,0.26450000
1820,0.30610000
1830,0.27880000
1840,0.56100000
1850,0.32860000
1860,0.29260000
1870,0.27780000
1880,0.38080000
1890,0.35460000
1900,0.30910000
1910,0.36500000
1920,0.33800000
1930,0.32410000
1940,0.33040000
1950,0.25750000
1960,0.19480000
1970,0.42110000
1980,0.23200000
1990,0.24570000
2000,0.34950000
