step,loss
10,3.52540000
20,3.31610000
30,3.54900000
40,3.17030000
50,3.54690000
60,3.66670000
70,2.91170000
80,3.28370000
90,3.24150000
100,3.13650000
110,3.35160000
120,2.97430000
130,3.02000000
140,3.00300000
150,3.25490000
160,3.37690000
170,3.06000000
180,3.57630000
190,3.13700000
200,3.36800000
210,3.16160000
220,3.22180000
230,3.01780000
240,3.42360000
250,3.29750000
260,3.36610000
270,3.12050000
280,2.85700000
290,3.16670000
300,3.17430000
310,3.43370000
320,3.39110000
330,3.21510000
340,3.48530000
350,3.18230000
360,3.12830000
370,2.94410000
380,3.17130000
390,3.29750000
400,3.15740000
410,2.84210000
420,2.98030000
430,3.48810000
440,3.24850000
450,3.05830000
460,3.28440000
470,3.45520000
480,3.19350000
490,3.21570000
500,3.13310000
510,3.34030000
520,3.09920000
530,3.47450000
540,3.22030000
550,2.91910000
560,2.95650000
570,3.22920000
580,3.48790000
590,3.05750000
600,3.05330000
610,2.97050000
620,3.03540000
630,3.10810000
640,3.10980000
650,3.48250000
660,3.14330000
670,3.06390000
680,3.07780000
690,3.05570000
700,3.31680000
710,2.91070000
720,2.99780000
730,3.24410000
740,3.17570000
750,3.10830000
760,2.92050000
770,3.19650000
780,3.33610000
790,3.24850000
800,3.14500000
810,2.89410000
820,3.21550000
830,3.37840000
840,3.10510000
850,2.97470000
860,3.07420000
870,3.21520000
880,3.26730000
890,3.04790000
900,2.93060000
910,3.07580000
920,3.41000000
930,2.98670000
940,3.25870000
950,3.17570000
960,2.92840000
970,3.15850000
980,3.02370000
990,3.16550000
1000,3.06070000
1010,3.42380000
1020,3.46950000
1030,2.98540000
1040,3.21290000
1050,3.12270000
1060,2.87260000
1070,2.81460000
1080,3.15860000
1090,2.97420000
1100,3.36450000
1110,2.94400000
1120,2.70590000
1130,2.96290000
1140,3.01720000
1150,3.08760000
1160,2.88760000
1170,3.01020000
1180,2.95310000
1190,3.34740000
1200,3.15580000
1210,3.32740000
1220,3.00100000
1230,3.41890000
1240,3.11400000
1250,2.67480000
1260,2.89140000
1270,2.94980000
1280,3.30900000
1290,2.98920000
1300,3.23450000
1310,2.84660000
1320,3.19100000
1330,2.96360000
1340,3.23840000
1350,2.95280000
1360,3.15030000
1370,3.08510000
1380,3.17770000
1390,3.03090000
1400,3.01400000
1410,3.12130000
1420,3.11800000
1430,2.94120000
1440,2.65540000
1450,3.12400000
1460,3.08020000
1470,2.92230000
1480,2.96810000
1490,3.21680000
1500,3.08830000
1510,2.94820000
1520,3.30340000
1530,3.27980000
1540,3.18900000
1550,3.08070000
1560,2.63890000
1570,2.93380000
1580,2.70660000
1590,3.43590000
1600,2.99440000
1610,3.07140000
1620,2.81340000
1630,3.33160000
1640,2.92320000
1650,2.88410000
1660,2.89590000
1670,2.78410000
1680,3.27070000
1690,2.91070000
1700,3.29620000
1710,3.02200000
1720,3.13830000
1730,3.08140000
1740,2.94020000
1750,3.22870000
1760,3.20270000
1770,3.11620000
1780,2.85230000
1790,3.24730000
1800,3.05980000
1810,2.91560000
1820,3.24910000
1830,2.99650000
1840,3.21010000
1850,3.13560000
1860,2.89810000
1870,2.56800000
1880,3.01530000
1890,2.93020000
1900,2.68990000
1910,3.24750000
1920,2.97390000
1930,3.13910000
1940,2.73040000
1950,3.22240000
1960,2.99140000
1970,3.09990000
1980,2.72340000
1990,3.29560000
2000,3.23160000
