step,loss
10,3.29170000
20,3.94740000
30,4.13620000
40,3.29700000
50,3.29040000
60,2.72000000
70,3.69850000
80,4.21000000
90,3.22680000
100,2.85530000
110,3.35320000
120,3.34930000
130,2.68400000
140,3.04920000
150,2.80420000
160,3.15740000
170,2.93540000
180,3.60390000
190,3.57860000
200,3.02620000
210,3.20350000
220,2.74720000
230,2.64760000
240,3.28790000
250,3.92940000
260,3.08070000
270,2.44100000
280,2.70160000
290,2.42700000
300,2.99320000
310,2.83340000
320,2.54790000
330,3.07870000
340,2.95380000
350,3.11790000
360,3.25820000
370,3.27110000
380,2.24620000
390,3.35300000
400,2.83280000
410,2.46100000
420,2.82540000
430,2.85600000
440,3.32260000
450,2.56990000
460,3.02080000
470,3.39270000
480,3.06960000
490,2.51980000
500,1.99190000
510,2.74620000
520,2.01420000
530,2.14490000
540,2.46370000
550,2.54680000
560,2.14520000
570,2.20800000
580,1.84810000
590,2.26380000
600,2.59590000
610,2.25210000
620,2.79590000
630,2.32120000
640,3.06620000
650,2.91930000
660,2.34550000
670,2.39150000
680,2.16480000
690,2.16750000
700,2.01800000
710,2.62060000
720,1.98170000
730,1.91320000
740,2.79520000
750,2.27500000
760,2.35670000
770,2.18450000
780,2.80560000
790,1.93520000
800,2.19560000
810,3.18710000
820,2.25060000
830,3.26670000
840,1.76670000
850,1.97310000
860,1.90150000
870,2.23350000
880,2.67110000
890,2.83870000
900,1.78830000
910,1.85850000
920,1.98560000
930,1.82060000
940,2.13930000
950,2.05630000
960,3.14310000
970,2.63580000
980,1.79350000
990,2.15020000
1000,1.99930000
1010,1.89250000
1020,2.35410000
1030,2.05940000
1040,2.13060000
1050,2.21380000
1060,1.79060000
1070,2.05980000
1080,3.07120000
1090,2.20720000
1100,1.89410000
1110,1.98300000
1120,2.52740000
1130,1.97350000
1140,2.64620000
1150,2.82670000
1160,2.83940000
1170,2.16850000
1180,1.34580000
1190,2.12720000
1200,2.39580000
1210,1.79240000
1220,2.51110000
1230,1.85320000
1240,2.29600000
1250,2.09900000
1260,2.05660000
1270,2.39330000
1280,2.71690000
1290,2.48150000
1300,2.80530000
1310,2.27020000
1320,2.36880000
1330,2.13930000
1340,2.55310000
1350,1.67620000
1360,2.59530000
1370,2.37840000
1380,1.83820000
1390,2.64220000
1400,1.87200000
1410,2.14440000
1420,3.44390000
1430,3.34270000
1440,2.42970000
1450,1.95310000
1460,2.50370000
1470,2.69910000
1480,2.22630000
1490,2.20750000
1500,2.38380000
1510,2.90780000
1520,2.40930000
1530,2.55960000
1540,2.68480000
1550,2.68400000
1560,1.64320000
1570,3.00830000
1580,2.47020000
1590,2.34290000
1600,1.97450000
1610,2.70910000
1620,2.26620000
1630,2.14430000
1640,1.77640000
1650,2.13170000
1660,2.87720000
1670,2.10410000
1680,1.86860000
1690,1.94460000
1700,2.15360000
1710,2.34210000
1720,2.20400000
1730,1.49570000
1740,2.60320000
1750,3.31360000
1760,3.34090000
1770,2.13710000
1780,3.03090000
1790,2.39660000
1800,3.02210000
1810,2.47850000
1820,2.01970000
1830,2.69030000
1840,2.19980000
1850,2.15870000
1860,2.90880000
1870,3.17090000
1880,3.36600000
1890,2.41580000
1900,2.01220000
1910,2.36650000
1920,1.95350000
