step,loss
10,4.12160000
20,3.76950000
30,3.95960000
40,3.98010000
50,3.97540000
60,3.78190000
70,3.67310000
80,3.31550000
90,3.45390000
100,3.43370000
110,3.39620000
120,3.48380000
130,3.40260000
140,3.17880000
150,3.38970000
160,3.21880000
170,3.28030000
180,3.14350000
190,3.15710000
200,3.21010000
210,2.97050000
220,3.10160000
230,2.76470000
240,2.93790000
250,2.99340000
260,2.71640000
270,2.94130000
280,2.74410000
290,2.83590000
300,2.77010000
310,2.84640000
320,2.78610000
330,2.68120000
340,2.94240000
350,2.67430000
360,2.66620000
370,2.84090000
380,2.77110000
390,2.66170000
400,2.69670000
410,2.47410000
420,2.54920000
430,2.62560000
440,2.59090000
450,2.67380000
460,2.49490000
470,2.40640000
480,2.33680000
490,2.32690000
500,2.40570000
510,2.50470000
520,2.46640000
530,2.43300000
540,2.22900000
550,2.51490000
560,2.39130000
570,2.23790000
580,2.25810000
590,2.31560000
600,2.50410000
610,2.35970000
620,2.36790000
630,2.19140000
640,2.33050000
650,2.12620000
660,2.16640000
670,2.20150000
680,2.16760000
690,2.27770000
700,2.09870000
710,2.15040000
720,2.20170000
730,2.09770000
740,2.21590000
750,2.02190000
760,2.29140000
770,2.30400000
780,2.03260000
790,2.17410000
800,2.03700000
810,2.19570000
820,2.02790000
830,2.11920000
840,1.95280000
850,1.93780000
860,2.07520000
870,2.12480000
880,2.10560000
890,2.03770000
900,2.02120000
910,2.06850000
920,2.09410000
930,2.01410000
940,1.93970000
950,1.93670000
960,2.02160000
970,1.94390000
980,1.92510000
990,1.99680000
1000,1.99720000
1010,1.99070000
1020,1.92870000
1030,1.91070000
1040,1.96450000
1050,1.93850000
1060,1.98610000
1070,1.96400000
1080,1.87690000
1090,1.89920000
1100,1.91690000
1110,1.81890000
1120,2.02160000
1130,1.83950000
1140,1.95470000
1150,2.00670000
1160,1.91030000
1170,1.87090000
1180,1.98240000
1190,1.88540000
1200,1.82870000
1210,1.94290000
1220,1.97840000
1230,1.92610000
1240,1.79870000
1250,1.75160000
1260,1.81840000
1270,1.83970000
1280,1.76760000
1290,1.88780000
1300,1.91530000
1310,1.73830000
1320,1.83270000
1330,1.82550000
1340,1.80960000
1350,1.92490000
1360,1.76370000
1370,1.97450000
1380,1.84560000
1390,1.83190000
1400,1.89090000
1410,1.95640000
1420,1.79280000
1430,1.83000000
1440,1.76080000
1450,1.88920000
1460,1.76130000
1470,1.92310000
1480,1.78830000
1490,1.74210000
1500,1.79500000
1510,1.75250000
1520,1.85970000
1530,1.80480000
1540,1.89820000
1550,1.82740000
1560,1.78000000
1570,1.83360000
1580,1.75170000
1590,1.83820000
1600,1.70970000
1610,1.76840000
1620,1.86530000
1630,1.66440000
1640,1.88530000
1650,1.78210000
1660,1.70320000
1670,1.83290000
1680,1.79090000
1690,1.77330000
1700,1.85090000
1710,1.79950000
1720,1.89740000
1730,1.78110000
1740,1.63650000
1750,1.71650000
1760,1.84890000
1770,1.63450000
1780,1.75920000
1790,1.80750000
1800,1.70090000
1810,1.92490000
1820,1.76290000
1830,1.76750000
1840,1.71540000
1850,1.68510000
1860,1.81830000
1870,1.79990000
1880,1.71450000
1890,1.74540000
1900,1.76720000
1910,1.77300000
1920,1.87180000
1930,1.71620000
1940,1.77390000
1950,1.80500000
1960,1.76390000
1970,1.85450000
1980,1.75310000
1990,1.75620000
2000,1.81770000
